name,group,elicited_points,confidence,elicitation_meta
Design Maturity,Feasibility,"[[1.0, 0.0], [5.0, 0.95], [4.0, 0.87], [3.0, 0.3], [2.0, 0.2], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - IT,Feasibility,"[[1.0, 0.0], [5.0, 0.9], [4.0, 0.8], [3.0, 0.3], [2.0, 0.2], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - CH,Feasibility,"[[1.0, 0.0], [5.0, 0.9], [4.0, 0.8], [3.0, 0.3], [2.0, 0.2], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - FR,Feasibility,"[[1.0, 0.0], [5.0, 1.0], [4.0, 0.8], [3.0, 0.3], [2.0, 0.2], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Licensing Status - PO,Feasibility,"[[1.0, 0.0], [5.0, 0.9], [4.0, 0.8], [3.0, 0.3], [2.0, 0.2], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[1.0, 1.0], [5.0, 0.19], [4.0, 0.4], [3.0, 0.6], [2.0, 0.7], [6.0, 0.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - IT,Economic,"[[1.0, 1.0], [6.0, 0.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - CH,Economic,"[[1.0, 1.0], [6.0, 0.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - FR,Economic,"[[1.0, 1.0], [6.0, 0.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity - PO,Economic,"[[1.0, 1.0], [6.0, 0.0]]",2,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - IT,Feasibility,"[[1.0, 0.0], [5.166666666666667, 0.83], [4.333333333333334, 0.66], [3.5, 0.32], [2.666666666666667, 0.2], [1.8333333333333335, 0.16], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - CH,Feasibility,"[[1.0, 0.0], [5.166666666666667, 0.83], [4.333333333333334, 0.66], [3.5, 0.32], [2.666666666666667, 0.2], [1.8333333333333335, 0.16], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - FR,Feasibility,"[[1.0, 0.0], [5.166666666666667, 1.0], [4.333333333333334, 0.66], [3.5, 0.35], [2.666666666666667, 0.21], [1.8333333333333335, 0.16], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility - PO,Feasibility,"[[1.0, 0.0], [5.166666666666667, 0.83], [4.333333333333334, 0.66], [3.5, 0.32], [2.666666666666667, 0.21], [1.8333333333333335, 0.16], [6.0, 1.0]]",3,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
