name,group,elicited_points,confidence,elicitation_meta
GHGe Benefit,Social,"[[0.021, 0.0], [0.13, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Electricity Market Benefit,Social,"[[0.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Load following Capabilities,Technical,"[[0.0, 0.0], [4.25, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Net Power Output,Technical,"[[300.0, 0.0], [1000.0, 1.0]]",2.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": 1000.0, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 2}"
Licensing Status,Feasibility,"[[1.0, 0.0], [5.0, 1.0], [4.0, 0.78], [3.0, 0.38], [2.0, 0.2], [6.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Construction Complexity,Economic,"[[1.0, 0.0], [5.285714285714286, 0.89], [4.571428571428571, 0.56], [3.857142857142857, 0.74], [3.142857142857143, 0.42], [2.428571428571429, 0.21], [1.7142857142857144, 0.22], [6.0, 1.0]]",2.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Supplier Availbility,Feasibility,"[[1.0, 0.0], [5.0, 0.95], [4.0, 0.8], [3.0, 0.5], [2.0, 0.25], [6.0, 1.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Thermal Efficiency,Technical,"[[30.8, 0.0], [36.17, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Discharge Burnup,Technical,"[[46.5, 0.0], [55.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Capital Investment Budgeted,Economic,"[[4000.0, 1.0], [6000.0, 0.75], [8000.0, 0.5], [10000.0, 0.25], [14000.0, 0.0]]",2.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 14000.0, ""x0"": 8000.0, ""x025"": 10000.0, ""x075"": 6000.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 2}"
Operative + Fuel Costs,Economic,"[[20.0, 1.0], [22.0, 0.5], [24.0, 0.25], [30.0, 0.0]]",2.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": 30.0, ""x0"": 22.0, ""x025"": 24.0, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 2}"
Percived Safety,Social,"[[0.0, 0.0], [1.0, 0.75], [2.0, 1.0]]",3.0,"{""mode"": ""Monotonic"", ""shape"": ""Increasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": null, ""x025"": null, ""x075"": 1.0, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 3}"
Nuclear Waste,Social,"[[5.88, 1.0], [10.0, 0.5], [27.71, 0.0]]",2.0,"{""mode"": ""Monotonic"", ""shape"": ""Decreasing"", ""lower_threshold"": null, ""upper_threshold"": null, ""x0"": 10.0, ""x025"": null, ""x075"": null, ""peak_location"": null, ""left_indiff"": null, ""right_indiff"": null, ""fit_type"": ""Piecewise Linear"", ""fit_params"": {}, ""confidence"": 2}"
Design Maturity,Feasibility,"[[1.0, 0.0], [5.0, 0.87], [4.0, 0.58], [3.0, 0.23], [2.0, 0.09], [6.0, 1.0]]",2.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
Design Complexity,Economic,"[[1.0, 1.0], [5.285714285714286, 0.15], [4.571428571428571, 0.3], [3.857142857142857, 0.4], [3.142857142857143, 0.5], [2.428571428571429, 0.75], [1.7142857142857144, 0.9], [6.0, 0.0]]",3.0,"{""mode"": ""Manual"", ""notes"": ""elicited via ranking_value_ui""}"
