"Time (CET/CEST)","Day-ahead Total Load Forecast [MW] - Poland (PL)","Actual Total Load [MW] - Poland (PL)"
"01.01.2024 00:00 - 01.01.2024 01:00","14899","14098"
"01.01.2024 01:00 - 01.01.2024 02:00","14425","13695"
"01.01.2024 02:00 - 01.01.2024 03:00","13744","13191"
"01.01.2024 03:00 - 01.01.2024 04:00","13363","12752"
"01.01.2024 04:00 - 01.01.2024 05:00","13181","12708"
"01.01.2024 05:00 - 01.01.2024 06:00","13195","12811"
"01.01.2024 06:00 - 01.01.2024 07:00","13452","13031"
"01.01.2024 07:00 - 01.01.2024 08:00","13408","13043"
"01.01.2024 08:00 - 01.01.2024 09:00","13502","13265"
"01.01.2024 09:00 - 01.01.2024 10:00","14225","13970"
"01.01.2024 10:00 - 01.01.2024 11:00","14794","14833"
"01.01.2024 11:00 - 01.01.2024 12:00","15324","15594"
"01.01.2024 12:00 - 01.01.2024 13:00","15830","16178"
"01.01.2024 13:00 - 01.01.2024 14:00","16037","16679"
"01.01.2024 14:00 - 01.01.2024 15:00","16054","16670"
"01.01.2024 15:00 - 01.01.2024 16:00","16743","16753"
"01.01.2024 16:00 - 01.01.2024 17:00","17681","17334"
"01.01.2024 17:00 - 01.01.2024 18:00","17711","17323"
"01.01.2024 18:00 - 01.01.2024 19:00","17693","17263"
"01.01.2024 19:00 - 01.01.2024 20:00","17677","17302"
"01.01.2024 20:00 - 01.01.2024 21:00","17515","17014"
"01.01.2024 21:00 - 01.01.2024 22:00","16708","16214"
"01.01.2024 22:00 - 01.01.2024 23:00","16058","15425"
"01.01.2024 23:00 - 02.01.2024 00:00","15116","14435"
"02.01.2024 00:00 - 02.01.2024 01:00","14309","13653"
"02.01.2024 01:00 - 02.01.2024 02:00","13818","13217"
"02.01.2024 02:00 - 02.01.2024 03:00","13579","12978"
"02.01.2024 03:00 - 02.01.2024 04:00","13693","13101"
"02.01.2024 04:00 - 02.01.2024 05:00","14310","13510"
"02.01.2024 05:00 - 02.01.2024 06:00","16278","14636"
"02.01.2024 06:00 - 02.01.2024 07:00","19343","17229"
"02.01.2024 07:00 - 02.01.2024 08:00","20600","19191"
"02.01.2024 08:00 - 02.01.2024 09:00","21710","20307"
"02.01.2024 09:00 - 02.01.2024 10:00","21990","21046"
"02.01.2024 10:00 - 02.01.2024 11:00","22331","21249"
"02.01.2024 11:00 - 02.01.2024 12:00","22296","21561"
"02.01.2024 12:00 - 02.01.2024 13:00","22551","21725"
"02.01.2024 13:00 - 02.01.2024 14:00","22821","22048"
"02.01.2024 14:00 - 02.01.2024 15:00","22440","21734"
"02.01.2024 15:00 - 02.01.2024 16:00","22953","21877"
"02.01.2024 16:00 - 02.01.2024 17:00","23407","22419"
"02.01.2024 17:00 - 02.01.2024 18:00","23208","22290"
"02.01.2024 18:00 - 02.01.2024 19:00","22820","21949"
"02.01.2024 19:00 - 02.01.2024 20:00","22645","21705"
"02.01.2024 20:00 - 02.01.2024 21:00","22228","21113"
"02.01.2024 21:00 - 02.01.2024 22:00","21113","19855"
"02.01.2024 22:00 - 02.01.2024 23:00","19494","18607"
"02.01.2024 23:00 - 03.01.2024 00:00","18173","17226"
"03.01.2024 00:00 - 03.01.2024 01:00","16729","16157"
"03.01.2024 01:00 - 03.01.2024 02:00","16069","15546"
"03.01.2024 02:00 - 03.01.2024 03:00","15761","15405"
"03.01.2024 03:00 - 03.01.2024 04:00","15806","15333"
"03.01.2024 04:00 - 03.01.2024 05:00","16348","15769"
"03.01.2024 05:00 - 03.01.2024 06:00","17744","16800"
"03.01.2024 06:00 - 03.01.2024 07:00","20891","19404"
"03.01.2024 07:00 - 03.01.2024 08:00","22040","21485"
"03.01.2024 08:00 - 03.01.2024 09:00","22860","22722"
"03.01.2024 09:00 - 03.01.2024 10:00","23093","22945"
"03.01.2024 10:00 - 03.01.2024 11:00","23234","22852"
"03.01.2024 11:00 - 03.01.2024 12:00","23460","22971"
"03.01.2024 12:00 - 03.01.2024 13:00","23486","23052"
"03.01.2024 13:00 - 03.01.2024 14:00","23836","23236"
"03.01.2024 14:00 - 03.01.2024 15:00","23421","22836"
"03.01.2024 15:00 - 03.01.2024 16:00","23851","22938"
"03.01.2024 16:00 - 03.01.2024 17:00","24279","23417"
"03.01.2024 17:00 - 03.01.2024 18:00","24181","23486"
"03.01.2024 18:00 - 03.01.2024 19:00","23784","23186"
"03.01.2024 19:00 - 03.01.2024 20:00","23633","22944"
"03.01.2024 20:00 - 03.01.2024 21:00","23084","22288"
"03.01.2024 21:00 - 03.01.2024 22:00","21941","20909"
"03.01.2024 22:00 - 03.01.2024 23:00","20304","19363"
"03.01.2024 23:00 - 04.01.2024 00:00","18970","17998"
"04.01.2024 00:00 - 04.01.2024 01:00","16729","16908"
"04.01.2024 01:00 - 04.01.2024 02:00","15988","16427"
"04.01.2024 02:00 - 04.01.2024 03:00","15696","16057"
"04.01.2024 03:00 - 04.01.2024 04:00","15754","15976"
"04.01.2024 04:00 - 04.01.2024 05:00","16310","16399"
"04.01.2024 05:00 - 04.01.2024 06:00","17715","17352"
"04.01.2024 06:00 - 04.01.2024 07:00","20669","19854"
"04.01.2024 07:00 - 04.01.2024 08:00","21861","21717"
"04.01.2024 08:00 - 04.01.2024 09:00","22819","22639"
"04.01.2024 09:00 - 04.01.2024 10:00","22818","23017"
"04.01.2024 10:00 - 04.01.2024 11:00","22912","22917"
"04.01.2024 11:00 - 04.01.2024 12:00","22872","23326"
"04.01.2024 12:00 - 04.01.2024 13:00","22992","23690"
"04.01.2024 13:00 - 04.01.2024 14:00","23307","23624"
"04.01.2024 14:00 - 04.01.2024 15:00","22972","23234"
"04.01.2024 15:00 - 04.01.2024 16:00","23285","23291"
"04.01.2024 16:00 - 04.01.2024 17:00","23563","23935"
"04.01.2024 17:00 - 04.01.2024 18:00","23554","23876"
"04.01.2024 18:00 - 04.01.2024 19:00","23158","23716"
"04.01.2024 19:00 - 04.01.2024 20:00","23071","23559"
"04.01.2024 20:00 - 04.01.2024 21:00","22533","22962"
"04.01.2024 21:00 - 04.01.2024 22:00","21350","21606"
"04.01.2024 22:00 - 04.01.2024 23:00","19774","20054"
"04.01.2024 23:00 - 05.01.2024 00:00","18446","18834"
"05.01.2024 00:00 - 05.01.2024 01:00","16910","17902"
"05.01.2024 01:00 - 05.01.2024 02:00","16196","17343"
"05.01.2024 02:00 - 05.01.2024 03:00","15940","17123"
"05.01.2024 03:00 - 05.01.2024 04:00","16028","17094"
"05.01.2024 04:00 - 05.01.2024 05:00","16609","17568"
"05.01.2024 05:00 - 05.01.2024 06:00","18240","18418"
"05.01.2024 06:00 - 05.01.2024 07:00","21214","20980"
"05.01.2024 07:00 - 05.01.2024 08:00","22281","22927"
"05.01.2024 08:00 - 05.01.2024 09:00","23195","23810"
"05.01.2024 09:00 - 05.01.2024 10:00","23116","24293"
"05.01.2024 10:00 - 05.01.2024 11:00","22855","24179"
"05.01.2024 11:00 - 05.01.2024 12:00","22837","24300"
"05.01.2024 12:00 - 05.01.2024 13:00","22961","24516"
"05.01.2024 13:00 - 05.01.2024 14:00","23297","24288"
"05.01.2024 14:00 - 05.01.2024 15:00","22901","23949"
"05.01.2024 15:00 - 05.01.2024 16:00","23269","23898"
"05.01.2024 16:00 - 05.01.2024 17:00","23959","24524"
"05.01.2024 17:00 - 05.01.2024 18:00","23946","24445"
"05.01.2024 18:00 - 05.01.2024 19:00","23537","24032"
"05.01.2024 19:00 - 05.01.2024 20:00","23427","23673"
"05.01.2024 20:00 - 05.01.2024 21:00","22867","23064"
"05.01.2024 21:00 - 05.01.2024 22:00","21664","21729"
"05.01.2024 22:00 - 05.01.2024 23:00","20063","20426"
"05.01.2024 23:00 - 06.01.2024 00:00","18716","19165"
"06.01.2024 00:00 - 06.01.2024 01:00","17699","17941"
